date,geounit,ncumul_delivered,ncumul_vacc,ncumul_vacc_per100pop,ncumul_fully_vacc,ncumul_fully_vacc_per100pop
2021-02-03,ZH,77375,54243,3.52,,
2021-02-03,FL,1775,833,2.15,,
2021-02-03,CHFL,539575,369085,4.27,,
2021-02-03,CH,537800,368252,4.28,,
2021-02-07,AG,60025,28490,4.15,,
2021-02-07,AI,1375,1438,8.92,,
2021-02-07,AR,5925,3562,6.42,,
2021-02-07,BE,69400,35523,3.42,,
2021-02-07,BL,21150,15321,5.29,,
2021-02-07,BS,20350,14595,7.45,,
2021-02-07,FR,27275,13920,4.33,,
2021-02-07,GE,29025,23011,4.56,,
2021-02-07,GL,4150,2815,6.94,,
2021-02-07,GR,20075,9521,4.78,,
2021-02-07,JU,5700,3859,5.24,,
2021-02-07,LU,23925,21315,5.16,,
2021-02-07,NE,12975,8551,4.84,,
2021-02-07,NW,6015,4350,10.1,,
2021-02-07,OW,4135,2156,5.68,,
2021-02-07,SG,45300,26530,5.19,,
2021-02-07,SH,8475,6513,7.91,,
2021-02-07,SO,25875,19212,6.98,,
2021-02-07,SZ,14825,6656,4.15,,
2021-02-07,TG,24525,12839,4.59,,
2021-02-07,TI,37250,24899,7.08,,
2021-02-07,UR,4925,2918,7.95,,
2021-02-07,VD,65975,39727,4.93,,
2021-02-07,VS,22925,17370,5.03,,
2021-02-07,ZG,11850,8294,6.5,,
2021-02-07,ZH,120500,59480,3.86,,
2021-02-07,FL,2775,833,2.15,,
2021-02-07,CHFL,696700,413698,4.79,,
2021-02-07,CH,693925,412865,4.8,,
2021-02-10,AG,61000,32736,4.77,,
2021-02-10,AI,1475,1679,10.41,,
2021-02-10,AR,6095,3758,6.78,,
2021-02-10,BE,89400,42920,4.13,,
2021-02-10,BL,31125,17696,6.11,,
2021-02-10,BS,21325,16443,8.4,,
2021-02-10,FR,27275,16595,5.16,,
2021-02-10,GE,42600,28225,5.6,,
2021-02-10,GL,4955,3126,7.7,,
2021-02-10,GR,20075,11662,5.86,,
2021-02-10,JU,6700,4323,5.87,,
2021-02-10,LU,35125,24473,5.92,,
2021-02-10,NE,18075,10455,5.92,,
2021-02-10,NW,6015,4350,10.1,,
2021-02-10,OW,4135,2066,5.45,,
2021-02-10,SG,46275,30627,6,,
2021-02-10,SH,8475,7156,8.69,,
2021-02-10,SO,26850,20436,7.42,,
2021-02-10,SZ,15800,8341,5.2,,
2021-02-10,TG,24525,15188,5.43,,
2021-02-10,TI,39200,29938,8.52,,
2021-02-10,UR,4925,3360,9.15,,
2021-02-10,VD,66950,48090,5.97,,
2021-02-10,VS,32925,19955,5.78,,
2021-02-10,ZG,11850,8666,6.79,,
2021-02-10,ZH,125375,69141,4.49,,
2021-02-10,FL,3750,1018,2.63,,
2021-02-10,CHFL,782275,482423,5.58,,
2021-02-10,CH,778525,481405,5.59,,
2021-02-14,AG,61000,34163,4.98,5292,0.77
2021-02-14,AI,1875,1729,10.72,615,3.81
2021-02-14,AR,6095,3788,6.83,964,1.74
2021-02-14,BE,89400,50921,4.9,4566,0.44
2021-02-14,BL,31125,19721,6.81,7559,2.61
2021-02-14,BS,21325,19137,9.77,6912,3.53
2021-02-14,CH,778925,541031,6.29,102098,1.19
2021-02-14,CHFL,782675,542196,6.27,102427,1.18
2021-02-14,FL,3750,1165,3.01,329,0.85
2021-02-14,FR,27275,19154,5.95,2954,0.92
2021-02-14,GE,42600,31201,6.19,6770,1.34
2021-02-14,GL,4955,3313,8.16,828,2.04
2021-02-14,GR,20075,13264,6.66,4317,2.17
2021-02-14,JU,6700,4748,6.45,974,1.32
2021-02-14,LU,35125,25046,6.06,7123,1.72
2021-02-14,NE,18075,11656,6.6,877,0.5
2021-02-14,NW,6015,4926,11.43,1830,4.25
2021-02-14,OW,4135,3201,8.44,1015,2.68
2021-02-14,SG,46275,32231,6.31,1864,0.36
2021-02-14,SH,8475,7715,9.37,1495,1.82
2021-02-14,SO,26850,22240,8.08,5812,2.11
2021-02-14,SZ,15800,9616,5.99,2705,1.69
2021-02-14,TG,24525,16310,5.83,1741,0.62
2021-02-14,TI,39200,31184,8.87,8984,2.56
2021-02-14,UR,4925,3360,9.15,1030,2.81
2021-02-14,VD,66950,55202,6.86,8988,1.12
2021-02-14,VS,32925,21675,6.27,5715,1.65
2021-02-14,ZG,11850,9561,7.49,1974,1.55
2021-02-14,ZH,125375,85969,5.59,9194,0.6
2021-02-17,AG,67825,41131,6,8357,1.22
2021-02-17,AI,1875,2048,12.7,889,5.51
2021-02-17,AR,6095,4663,8.41,1495,2.7
2021-02-17,BE,103900,63044,6.06,9857,0.95
2021-02-17,BL,34050,22603,7.81,7898,2.73
2021-02-17,BS,21325,20623,10.53,8563,4.37
2021-02-17,CH,844150,611842,7.11,137405,1.6
2021-02-17,CHFL,847900,613346,7.09,137734,1.59
2021-02-17,FL,3750,1504,3.88,329,0.85
2021-02-17,FR,30200,22052,6.85,4298,1.34
2021-02-17,GE,46500,36058,7.15,9367,1.86
2021-02-17,GL,4955,3451,8.5,966,2.38
2021-02-17,GR,23000,15422,7.75,4329,2.18
2021-02-17,JU,6700,5554,7.55,1434,1.95
2021-02-17,LU,38050,26421,6.4,7985,1.93
2021-02-17,NE,19050,12868,7.29,1220,0.69
2021-02-17,NW,6015,5138,11.92,1830,4.25
2021-02-17,OW,4135,3436,9.06,1250,3.3
2021-02-17,SG,51150,34689,6.79,3318,0.65
2021-02-17,SH,9450,8495,10.32,2245,2.73
2021-02-17,SO,28800,25645,9.32,8202,2.98
2021-02-17,SZ,15800,10946,6.82,3095,1.93
2021-02-17,TG,27450,18277,6.54,2806,1
2021-02-17,TI,42150,31879,9.07,9250,2.63
2021-02-17,UR,4925,3799,10.35,1342,3.66
2021-02-17,VD,74750,62918,7.81,12894,1.6
2021-02-17,VS,36825,26145,7.57,8885,2.57
2021-02-17,ZG,13800,11038,8.65,3349,2.62
2021-02-17,ZH,125375,93499,6.07,12281,0.8
2021-02-21,AG,67825,46551,6.79,11017,1.61
2021-02-21,AI,1875,2129,13.2,966,5.99
2021-02-21,AR,6095,5105,9.21,1836,3.31
2021-02-21,BE,116575,71870,6.91,14094,1.36
2021-02-21,BL,34050,24733,8.54,8041,2.78
2021-02-21,BS,21325,20753,10.6,8690,4.44
