"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"AG",2021-02-03 18:00:00,685845,41625,6.07,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"AI",2021-02-03 18:00:00,16128,1375,8.53,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"AR",2021-02-03 18:00:00,55445,4325,7.8,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"BE",2021-02-03 18:00:00,1039474,69400,6.68,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"BL",2021-02-03 18:00:00,289468,21150,7.31,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"BS",2021-02-03 18:00:00,195844,14550,7.43,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"FR",2021-02-03 18:00:00,321783,19275,5.99,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"GE",2021-02-03 18:00:00,504128,29025,5.76,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"GL",2021-02-03 18:00:00,40590,2950,7.27,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"GR",2021-02-03 18:00:00,199021,13875,6.97,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"JU",2021-02-03 18:00:00,73584,5700,7.75,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"LU",2021-02-03 18:00:00,413120,23925,5.79,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"NE",2021-02-03 18:00:00,176496,12975,7.35,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"NW",2021-02-03 18:00:00,43087,4715,10.94,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"OW",2021-02-03 18:00:00,37930,3035,8,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"SG",2021-02-03 18:00:00,510734,31200,6.11,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"SH",2021-02-03 18:00:00,82348,6975,8.47,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"SO",2021-02-03 18:00:00,275247,19275,7,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"SZ",2021-02-03 18:00:00,160480,10425,6.5,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"TG",2021-02-03 18:00:00,279547,17025,6.09,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"TI",2021-02-03 18:00:00,351491,26950,7.67,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"UR",2021-02-03 18:00:00,36703,3825,10.42,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"VD",2021-02-03 18:00:00,805098,45375,5.64,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"VS",2021-02-03 18:00:00,345525,22925,6.63,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"ZG",2021-02-03 18:00:00,127642,8550,6.7,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"ZH",2021-02-03 18:00:00,1539275,77375,5.03,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"FL",2021-02-03 18:00:00,38747,1775,4.58,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"CHFL",2021-02-03 18:00:00,8644780,539575,6.24,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"CH",2021-02-03 18:00:00,8606033,537800,6.25,"COVID19VaccDosesDelivered","2021-02-03_18-00-00"
"CHFL",2021-02-03 18:00:00,8644780,550025,6.36,"COVID19VaccDosesReceived","2021-02-03_18-00-00"
