"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"AG",2021-02-10,685845,61000,8.89,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"AI",2021-02-10,16128,1475,9.15,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"AR",2021-02-10,55445,6095,10.99,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"BE",2021-02-10,1039474,89400,8.6,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"BL",2021-02-10,289468,31125,10.75,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"BS",2021-02-10,195844,21325,10.89,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"FR",2021-02-10,321783,27275,8.48,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"GE",2021-02-10,504128,42600,8.45,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"GL",2021-02-10,40590,4955,12.21,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"GR",2021-02-10,199021,20075,10.09,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"JU",2021-02-10,73584,6700,9.11,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"LU",2021-02-10,413120,35125,8.5,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"NE",2021-02-10,176496,18075,10.24,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"NW",2021-02-10,43087,6015,13.96,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"OW",2021-02-10,37930,4135,10.9,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"SG",2021-02-10,510734,46275,9.06,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"SH",2021-02-10,82348,8475,10.29,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"SO",2021-02-10,275247,26850,9.75,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"SZ",2021-02-10,160480,15800,9.85,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"TG",2021-02-10,279547,24525,8.77,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"TI",2021-02-10,351491,39200,11.15,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"UR",2021-02-10,36703,4925,13.42,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"VD",2021-02-10,805098,66950,8.32,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"VS",2021-02-10,345525,32925,9.53,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"ZG",2021-02-10,127642,11850,9.28,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"ZH",2021-02-10,1539275,125375,8.15,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"FL",2021-02-10,38747,3750,9.68,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"CHFL",2021-02-10,8644780,782275,9.05,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"CH",2021-02-10,8606033,778525,9.05,"COVID19VaccDosesDelivered","2021-02-10_18-00-00"
"CHFL",2021-02-10,8644780,806025,9.32,"COVID19VaccDosesReceived","2021-02-10_18-00-00"
