"geoRegion","date","pop","sumTotal","per100PersonsTotal","type","version"
"AG",2021-02-07 18:00:00,685845,60025,8.75,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"AI",2021-02-07 18:00:00,16128,1375,8.53,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"AR",2021-02-07 18:00:00,55445,5925,10.69,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"BE",2021-02-07 18:00:00,1039474,69400,6.68,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"BL",2021-02-07 18:00:00,289468,21150,7.31,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"BS",2021-02-07 18:00:00,195844,20350,10.39,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"FR",2021-02-07 18:00:00,321783,27275,8.48,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"GE",2021-02-07 18:00:00,504128,29025,5.76,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"GL",2021-02-07 18:00:00,40590,4150,10.22,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"GR",2021-02-07 18:00:00,199021,20075,10.09,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"JU",2021-02-07 18:00:00,73584,5700,7.75,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"LU",2021-02-07 18:00:00,413120,23925,5.79,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"NE",2021-02-07 18:00:00,176496,12975,7.35,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"NW",2021-02-07 18:00:00,43087,6015,13.96,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"OW",2021-02-07 18:00:00,37930,4135,10.9,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"SG",2021-02-07 18:00:00,510734,45300,8.87,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"SH",2021-02-07 18:00:00,82348,8475,10.29,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"SO",2021-02-07 18:00:00,275247,25875,9.4,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"SZ",2021-02-07 18:00:00,160480,14825,9.24,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"TG",2021-02-07 18:00:00,279547,24525,8.77,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"TI",2021-02-07 18:00:00,351491,37250,10.6,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"UR",2021-02-07 18:00:00,36703,4925,13.42,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"VD",2021-02-07 18:00:00,805098,65975,8.19,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"VS",2021-02-07 18:00:00,345525,22925,6.63,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"ZG",2021-02-07 18:00:00,127642,11850,9.28,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"ZH",2021-02-07 18:00:00,1539275,120500,7.83,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"FL",2021-02-07 18:00:00,38747,2775,7.16,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"CHFL",2021-02-07 18:00:00,8644780,696700,8.06,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"CH",2021-02-07 18:00:00,8606033,693925,8.06,"COVID19VaccDosesDelivered","2021-02-07_18-00-00"
"CHFL",2021-02-07 18:00:00,8644780,790425,9.14,"COVID19VaccDosesReceived","2021-02-07_18-00-00"
